,tune,chords,notes
49,49,[],[]
50,50,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]","[60.0, 65.0, 65.0, 66.0, 70.0, 72.0, 70.0, 69.0, 70.0, 71.0, 65.0, 66.0, 70.0, 72.0, 72.0, 72.0, 70.0, 75.0, 74.0, 67.0, 62.0, 63.0, 65.0]"
51,51,[],[]
52,52,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7')]","[58.0, 57.0, 56.0]"
53,53,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7')]","[62.0, 62.0, 59.0, 54.0]"
54,54,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]","[62.0, 67.0, 70.0, 70.0, 74.0, 69.0, 62.0, 67.0, 66.0, 64.0, 62.0, 67.0, 65.0, 62.0, 58.0, 55.0, 63.0, 65.0, 67.0, 64.0, 65.0, 68.0, 69.0]"
55,55,[],[]
56,56,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'C7'), ('1', 'Bbmaj7'), ('1', 'Bbmaj7'), ('1', 'C7'), ('1', 'C7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Cmaj7'), ('1', 'Cmaj7'), ('1', 'D7'), ('1', 'D7'), ('1', 'Fm7'), ('1', 'Fm7'), ('1', 'FmM7b5'), ('1', 'D7'), ('1', 'D7')]","[65.0, 68.0, 67.0, 76.0, 81.0, 80.0, 78.0, 79.0, 79.0, 79.0, 77.0, 76.0, 72.0, 75.0, 77.0, 78.0, 79.0, 79.0, 76.0, 75.0, 77.0, 75.0, 77.0]"
57,57,"[('1', 'C7'), ('1', 'C7'), ('1', 'C7')]","[58.0, 61.0, 59.0]"
58,58,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gm7'), ('2', 'Dbm7b9'), ('2', 'Dbm13'), ('1', 'Fmaj7'), ('1', 'Bb13'), ('2', 'Em'), ('2', 'Dbm/E'), ('2', 'Em6'), ('2', 'Em7'), ('2', 'EmM7'), ('2', 'Em7'), ('1', 'Bbm7#9#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9')]","[81.0, 82.0, 81.0, 80.0, 69.0, 68.0, 71.0, 73.0, 71.0, 70.0, 68.0, 69.0, 69.0, 74.0, 72.0, 70.0]"
59,59,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Gm7'), ('2', 'Dbm7b9'), ('2', 'Dbm13'), ('1', 'Fmaj7'), ('1', 'Bb13'), ('2', 'Em'), ('2', 'Dbm/E'), ('2', 'Em6'), ('2', 'Em7'), ('2', 'EmM7'), ('2', 'Em7'), ('1', 'Bbm7#9#5'), ('1', 'Abm13sus'), ('1', 'Abm13b9')]","[80.0, 78.0, 77.0, 74.0, 75.0, 76.0, 78.0, 79.0, 79.0, 68.0, 66.0, 68.0, 69.0, 69.0, 68.0, 67.0]"
60,60,"[('1', 'Gbm11'), ('1', 'Gbm13#11'), ('1', 'Em11'), ('1', 'Bbm13b9'), ('1', 'Dm11'), ('1', 'Abm13b9'), ('2', 'E13'), ('2', 'E7#5'), ('2', 'Bbm9sus'), ('2', 'Bbm7#9#5')]","[70.0, 72.0, 74.0, 66.0, 71.0, 76.0, 83.0, 84.0, 77.0, 75.0]"
61,61,"[('1', 'Abm13sus'), ('1', 'Abm13b9'), ('1', 'Em9'), ('1', 'Bbm7b13'), ('1', 'Dm9'), ('1', 'Abm13b9'), ('1', 'Dbm6'), ('1', 'Dbm6')]","[71.0, 74.0, 65.0, 72.0, 65.0, 68.0, 68.0, 67.0]"
62,62,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9')]","[70.0, 82.0, 79.0, 78.0, 77.0, 78.0]"
63,63,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9')]","[65.0, 64.0, 63.0, 65.0, 67.0, 68.0]"
64,64,"[('1', 'Cm'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('1', 'C7#9'), ('2', 'Fm'), ('2', 'Fm7/Eb'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('2', 'Cm'), ('2', 'Bm'), ('2', 'Bbm7'), ('2', 'Eb7'), ('1', 'Am7'), ('2', 'Dm7b5'), ('2', 'G7b9'), ('1', 'Cm'), ('1', 'G7#9')]","[71.0, 73.0, 69.0, 66.0, 64.0, 68.0, 66.0, 68.0, 71.0, 74.0, 71.0, 70.0, 69.0, 71.0, 68.0, 74.0, 72.0, 71.0]"
