,OTL,COM,ODT,meta,parts,chords
315,Only Trust Your Heart,"Carter, Benny",1964,"['OTL: Only Trust Your Heart', 'COM: Carter, Benny', 'ODT: 1964']","['A', 'N1', 'A', 'N2', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*F:\n'], 'bars': [['F:maj7#11'], ['B7#9'], ['E:min7'], ['A:min7'], ['D:min7'], ['G7', 'G7#5']]}, {'meta': ['*>N1\n'], 'bars': [['C:maj7'], ['G:min7', 'C7']]}, {'meta': ['*>N2\n'], 'bars': [['C7'], ['G:min7', 'G-7#11']]}, {'meta': ['*>B\n'], 'bars': [['F:maj7'], ['A:min7/E'], ['D:min7'], ['D:min7/C'], ['Bh7'], ['E7b13'], ['A:min7', 'A-:min'], ['G:min7', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7#11'], ['B7#9'], ['E:min7'], ['A:min7'], ['D:min7'], ['G7', 'G7#5'], ['B-7#11'], ['A7']]}, {'meta': ['*>C\n'], 'bars': [['D:min7'], ['F:min7', 'B-7'], ['C:maj7'], ['E:min7', 'A7b9'], ['A-7#11'], ['F:maj7/G', 'G7b9'], ['C6'], ['G:min7', 'C7']]}]"
316,I'll Remember April,DePaul,1941,"[""OTL: I'll Remember April"", 'COM: DePaul', 'LYR1: Johnston, Patricia', 'LYR2: Raye, Don', 'ODT: 1941']","['A', 'B', 'A']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:maj7'], ['G6'], ['G:maj7'], ['G6'], ['G:min7'], ['G:min6'], ['G:min7'], ['G:min6'], ['Ah7'], ['D7b9'], ['Bh7'], ['E7b9'], ['A:min7'], ['D7'], ['G:maj7'], ['G:maj7', '! Fine']]}, {'meta': ['*>B\n'], 'bars': [['C:min7'], ['F7'], ['B-:maj7'], ['G:min7'], ['C:min7'], ['F7'], ['B-:maj7'], ['B-:maj7'], ['A:min7'], ['D7'], ['G:maj7'], ['G:maj7'], ['F#:min7'], ['B7'], ['E:maj7', '! D.C. al Fine'], ['A:min7', 'D7']]}]"
317,This Is All I Ask,"Jenkins, Gordon",1958,"['OTL: This Is All I Ask', 'COM: Jenkins, Gordon', 'ODT: 1958']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n'], 'bars': [['F:maj7'], ['D7b9'], ['G:min7', 'C7b9'], ['F:maj7'], ['F:maj7', 'D:min7'], ['G:min7', 'C7#5'], ['F:maj7'], ['Bh7', 'E7']]}, {'meta': ['*>B\n'], 'bars': [['A:min7'], ['A:min7'], ['D7'], ['D7'], ['G7'], ['G7'], ['C7'], ['C7#5', 'C7']]}, {'meta': ['*>A2\n'], 'bars': [['F:maj7'], ['D7b9'], ['G:min7', 'C7b9'], ['F:maj7'], ['F:maj7', 'D:min7'], ['G:min7', 'C7#5'], ['F:maj7'], ['A7b9#5']]}, {'meta': ['*>C\n'], 'bars': [['B-6'], ['Bh7', 'E7b9'], ['A:min7'], ['D7#5'], ['G:min7'], ['C7'], ['F6'], ['G:min7', 'C7']]}]"
318,Bags' Groove,"Jackson, Milt",1954,"[""OTL: Bags' Groove"", 'COM: Jackson, Milt', 'ODT: 1954']",['/'],[]
319,Move,"Best, Denzil",1949,"['OTL: Move', 'COM: Best, Denzil', 'ODT: 1949']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-6'], ['E-7'], ['B-6'], ['Bo7'], ['C:min7'], ['F7'], ['B-6'], ['B-6']]}, {'meta': ['*>B\n'], 'bars': [['F:min7'], ['B-7'], ['E-6'], ['E-6'], ['C7'], ['C7'], ['C:min7'], ['F7']]}, {'meta': ['*>A2\n'], 'bars': [['B-6'], ['E-7'], ['B-6'], ['Bo7'], ['C:min7'], ['F7'], ['B-6'], ['B-6']]}]"
320,More Than You Know,"Youmans, Vincent",1929,"['OTL: More Than You Know', 'COM: Youmans, Vincent', 'ODT: 1929']","['A', 'A2', 'B', 'A3']","[{'meta': ['*>A\n', '*M4/4\n', '*C:\n'], 'bars': [['C6', 'G7#5'], ['G:min7', 'C7'], ['F:maj7', 'Eh', 'A7'], ['D:min7', 'F:min6'], ['D:min7', 'A-7#11'], ['D:min7', 'G7'], ['E:min7', 'A7b9'], ['D:min7', 'G7#5']]}, {'meta': ['*>A2\n'], 'bars': [['C6', 'G7#5'], ['G:min7', 'C7'], ['F:maj7', 'Eh', 'A7'], ['D:min7', 'F:min6'], ['E:min7', 'A7b9'], ['D:min7', 'G7'], ['C6'], ['F#h7', 'B7b13']]}, {'meta': ['*>B\n'], 'bars': [['E:min7', 'C#h7'], ['F#h7(C7)', 'B7#9'], ['E:min7'], ['Ah7', 'D7'], ['G:maj7', 'E:min7'], ['A7', 'D7'], ['D:min7'], ['G7']]}, {'meta': ['*>A3\n'], 'bars': [['C6', 'G7#5'], ['G:min7', 'C7'], ['F:maj7', 'Eh', 'A7'], ['D:min7', 'F:min6'], ['E:min7', 'A7b9'], ['D:min7', 'G7'], ['C6', 'A:min7'], ['D:min7', 'G7']]}]"
321,Walkin' Shoes,"Mulligan, Gerry",1956,"[""OTL: Walkin' Shoes"", 'COM: Mulligan, Gerry', 'ODT: 1956']","['A', 'N1', 'A', 'N2', 'B', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-'], ['A-7'], ['E-'], ['Gh7', 'C7'], ['F:min7'], ['A:min7', 'D7'], ['G:minb6', 'G-:min7']]}, {'meta': ['*>N1\n'], 'bars': [['G-:min7', 'F:min', 'E7#9']]}, {'meta': ['*>N2\n'], 'bars': [['G-:min7', 'F:min', 'E7', 'A-7']]}, {'meta': ['*>B\n'], 'bars': [['G7'], ['G7'], ['C:min6'], ['C:min6'], ['C:min7'], ['F7'], ['F:min7'], ['B-7']]}, {'meta': ['*>C\n'], 'bars': [['E-'], ['A-7', 'Ao7'], ['E-', 'A-'], ['Gh7', 'C7'], ['Fh7', 'C9'], ['F:min7', 'B-7b5'], ['E-'], ['B-7']]}]"
322,But Beautiful,"van Heusen, Jimmy",1947,"['OTL: But Beautiful', 'COM: van Heusen, Jimmy', 'ODT: 1947']","['A', 'B', 'A2', 'C']","[{'meta': ['*>A\n', '*M4/4\n', '*G:\n'], 'bars': [['G:maj7'], ['Bh7', 'E7b9'], ['A:min7'], ['C#h7', 'F#7b9'], ['G:maj7'], ['Bh7', 'E7b9'], ['A7'], ['A7']]}, {'meta': ['*>B\n'], 'bars': [['D7', 'D7/C'], ['B:min7', 'E:min7'], ['A:min7', 'D7'], ['G:maj7'], ['E:min7'], ['A7'], ['A:min7'], ['D7']]}, {'meta': ['*>A2\n'], 'bars': [['G:maj7'], ['Bh7', 'E7b9'], ['A:min7'], ['C#h7', 'F#7b9'], ['G:maj7'], ['Bh7', 'E7b9'], ['A7'], ['A7']]}, {'meta': ['*>C\n'], 'bars': [['D7', 'D7/C'], ['B:min7', 'E:min7'], ['A:min7', 'F#h', 'B7'], ['E:min7', 'F7'], ['B:min7', 'E7'], ['A:min7', 'D7'], ['G6', 'E:min7'], ['A:min7', 'D7']]}]"
323,I'm Beginning To See The Light," Ellington, Duke",1944,"[""OTL: I'm Beginning To See The Light"", 'COM1: Hodges, Johnny', 'COM2: James, Harry', 'COM3: Ellington, Duke', 'ODT: 1944']","['A', 'A', 'B', 'A2']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['B-6'], ['B-6'], ['B-6'], ['G-7'], ['B-6', 'C:min7'], ['D:min7', 'G7'], ['C:min7', 'F7'], ['B-6']]}, {'meta': ['*>B\n'], 'bars': [['D7'], ['D7'], ['D-7'], ['D-7'], ['C7'], ['C7'], ['G-7'], ['F7']]}, {'meta': ['*>A2\n'], 'bars': [['B-6'], ['B-6'], ['B-6'], ['G-7'], ['B-6', 'C:min7'], ['D:min7', 'G7'], ['C:min7', 'F7'], ['B-6']]}]"
324,All About Ronnie,"Greene, Joe",1953,"['OTL: All About Ronnie', 'COM: Greene, Joe', 'ODT: 1953']","['A', 'B']","[{'meta': ['*>A\n', '*M4/4\n', '*B-:\n'], 'bars': [['E-7#11'], ['E-7#11'], ['B-6', 'F9sus'], ['B-6'], ['C:min9'], ['F9sus', 'F7b9'], ['B-6', 'F9sus'], ['B-6', 'E-^9'], ['Dh7'], ['G7b9'], ['C:min7', 'G7b13'], ['C:min7'], ['Eh7'], ['A7b9'], ['C:min7'], ['F9sus']]}, {'meta': ['*>B\n'], 'bars': [['E-7#11'], ['E-7#11'], ['B-6', 'F9sus'], ['B-6'], ['C:min9'], ['F9sus', 'F7b9'], ['Ah7'], ['D7b13'], ['E-:maj7'], ['A-7'], ['B-6', 'G7b9'], ['C7b13', 'F7b13'], ['B-6', 'C7#11'], ['F9sus']]}]"
325,Heyoke,"Wheeler, Kenny",1976,"['OTL: Heyoke', 'COM: Wheeler, Kenny', 'ODT: 1976']","['A', 'N1', 'A', 'N2']","[{'meta': ['*>A\n', '*M3/4\n', '*F:\n'], 'bars': [['.F:maj7'], ['.F:maj7'], ['.B:min7'], ['.C#7'], ['.F#:min7'], ['.F#:min7'], ['.B-:min7'], ['.A:maj7'], ['.A-:maj7'], ['.A-:maj7'], ['.B:maj7'], ['.B:maj7'], ['.D:maj7'], ['.G:maj7']]}, {'meta': ['*>N1\n'], 'bars': [['.F:maj7', '.A:maj7'], ['.D-:maj7', '.G-:maj7']]}, {'meta': ['*>N2\n'], 'bars': [['.F#:min7'], ['.E-:min11'], ['.A:maj7#11/A-'], ['.A:maj7#11/A-'], ['.A-7sus'], ['.A-7sus']]}]"
326,Will You Still Be Mine?,"Dennis, Matt",1941,"['OTL: Will You Still Be Mine?', 'COM: Dennis, Matt', 'ODT: 1941']","['A', 'N1', 'A', 'N2', 'B', 'A', 'N1']","[{'meta': ['*>A\n', '*M4/4\n', '*E-:\n'], 'bars': [['E-:maj7'], ['Eo7'], ['F:min7'], ['B-7']]}, {'meta': ['*>N1\n'], 'bars': [['E-:maj7'], ['E-:maj7'], ['Dh7'], ['G7b9'], ['C:min7'], ['C:min7'], ['F7'], ['F7'], ['F#:min7', 'B7'], ['B-7#9'], ['E-:maj7', 'C7'], ['F:min7'], ['B-7', '! Fine']]}, {'meta': ['*>N2\n'], 'bars': [['G7'], ['G7'], ['C:min7'], ['C:min7'], ['C:min7'], ['C:min7'], ['F7'], ['F7'], ['F#:min7', 'B7'], ['B-7#9'], ['B-:min7'], ['E-7']]}, {'meta': ['*>B\n'], 'bars': [['A-:maj7'], ['A-:maj7'], ['D-7'], ['D-7'], ['E-:maj7'], ['E-:maj7'], ['F#:min7', '! D.C. al 1st ending', 'B7'], ['F:min7', 'B-7']]}]"
